customer_id,customer_name,est_monthly_income,income_method,salary_regularity_score,declared_existing_emis,detected_recurring_debits,existing_monthly_obligations,avg_monthly_net_cashflow,avg_monthly_spend,avg_monthly_credit,cashflow_cv,bounce_count_6m,negative_balance_days,digital_engagement_score,intent_recency_days,intent_frequency_90d,age,occupation_sector,employment_years,education_level,city_tier,existing_bank_relationship,source_channel,inquiry_product,credit_bureau_score,gender,inquiry_date,existing_products,converted
CUST_00001,Aryan Maharaj,102538.4,proxy_model,0.0,13769.0,0.0,13769.0,62004.27,75073.54,137077.81,0.7161,0,0,12.7,85,1,22,self_employed_business,1.0,below_10th,tier3,False,partner,mortgage_loan_lap,608.0,F,2026-04-17,,False
CUST_00002,Udant Dewan,119945.63,salary_detection,0.9286066604263676,9055.0,0.0,9055.0,52146.26,67691.09,119837.34,0.1962,0,0,14.0,61,1,43,salaried_pvt_other,19.0,diploma,tier2,False,referral,home_loan,607.0,M,2026-05-11,,False
CUST_00003,Gagan Sami,140424.89,proxy_model,0.0,0.0,0.0,0.0,70119.92,52456.15,122576.06,0.425,0,0,18.7,42,2,43,self_employed_professional,7.9,professional_degree,tier2,False,website_organic,mortgage_loan_lap,493.0,M,2026-05-30,,False
CUST_00004,Ayushman Chander,108258.89,proxy_model,0.0,0.0,0.0,0.0,87484.99,62973.98,150458.97,0.5385,0,0,13.8,80,3,60,self_employed_business,11.0,post_graduate,tier3,False,referral,home_loan,624.0,M,2026-04-22,,False
CUST_00005,Viraj Tiwari,45247.12,proxy_model,0.0,5124.0,0.0,5124.0,-167.93,29508.52,29340.6,5.0,0,0,18.3,17,3,24,gig_worker,3.8,12th_pass,tier1,False,website_organic,auto_loan,626.0,M,2026-06-24,,False
CUST_00006,Rushil Saini,241102.71,proxy_model,0.0,39818.0,33040.73,56338.37,52244.85,185535.82,237780.67,1.3871,0,0,24.7,30,5,35,self_employed_business,8.3,diploma,tier2,False,referral,mortgage_loan_lap,676.0,F,2026-06-11,,True
CUST_00007,Saumya Mall,54564.75,salary_detection,0.9389879317218279,0.0,0.0,0.0,21929.3,34060.2,55989.5,0.527,0,0,15.0,89,1,27,salaried_govt,1.7,graduate,tier1,False,website_organic,personal_loan,,M,2026-04-13,,False
CUST_00008,Nathaniel Sami,69287.89,salary_detection,0.9216169982792877,10673.0,0.0,10673.0,24881.86,44914.18,69796.03,0.4643,0,0,5.0,75,4,51,salaried_govt,22.4,graduate,tier3,False,branch_walkin,mortgage_loan_lap,759.0,F,2026-04-27,,False
CUST_00009,Arunima Dugal,116926.4,salary_detection,0.9310629493395006,0.0,30915.2,30915.2,17963.19,99347.41,117310.6,0.8276,0,0,19.7,22,2,38,salaried_pvt_it,15.5,post_graduate,tier2,False,campaign_click,auto_loan,597.0,M,2026-06-19,,False
CUST_00010,Gayathri Chaudry,156657.89,proxy_model,0.0,10589.0,0.0,10589.0,40195.83,62643.06,102838.89,0.6495,0,0,17.3,85,4,22,self_employed_professional,2.0,post_graduate,tier1,False,partner,personal_loan,,M,2026-04-17,,False
